縣市別代碼,統計期,基本分類,原始值[統計數值],年增率[%]
63000,93年 12月,塑膠製品類,53.06,30.88
63000,93年 12月,油漆塗料類,70.25,1.03
63000,93年 12月,機電設備類,87.96,1.39
63000,93年 12月,瀝青及其製品類,44.51,7.02
63000,93年 12月,雜項材料類,74.3,3.74
63000,93年 12月,勞務類,78.25,2.43
63000,93年 12月,工資類,71.47,1.05
63000,93年 12月,機具設備租金類,86.51,3.95
63000,94年 1月,總指數,64.88,5.32
63000,94年 1月,材料類,59.34,6.67
63000,94年 1月,水泥及其製品類,67.87,4.82
63000,94年 1月,砂石及級配類,77.37,2.34
63000,94年 1月,磚瓦瓷類,107.08,9.36
63000,94年 1月,金屬製品類,64.68,9.28
63000,94年 1月,木材及其製品類,73.23,26.87
63000,94年 1月,塑膠製品類,50.89,20.43
63000,94年 1月,油漆塗料類,72.17,3.79
63000,94年 1月,機電設備類,87.96,1.39
63000,94年 1月,瀝青及其製品類,44.51,2.8
63000,94年 1月,雜項材料類,74.36,3.4
63000,94年 1月,勞務類,78.57,2.65
63000,94年 1月,工資類,71.5,0.66
63000,94年 1月,機具設備租金類,87.16,4.8
63000,94年 2月,總指數,65.44,2.31
63000,94年 2月,材料類,59.94,2.02
63000,94年 2月,水泥及其製品類,67.92,4.56
63000,94年 2月,砂石及級配類,77.37,1.59
63000,94年 2月,磚瓦瓷類,107.08,4.19
63000,94年 2月,金屬製品類,66.25,-1.88
63000,94年 2月,木材及其製品類,75.48,26.13
63000,94年 2月,塑膠製品類,50.89,18.03
63000,94年 2月,油漆塗料類,72.17,3.79
63000,94年 2月,機電設備類,88.18,0.76
63000,94年 2月,瀝青及其製品類,44.51,0.82
63000,94年 2月,雜項材料類,74.49,3.31
63000,94年 2月,勞務類,78.96,2.87
63000,94年 2月,工資類,71.59,0.64
63000,94年 2月,機具設備租金類,87.93,5.27
63000,94年 3月,總指數,65.65,0.79
63000,94年 3月,材料類,60.17,0.05
63000,94年 3月,水泥及其製品類,68.03,4.07
63000,94年 3月,砂石及級配類,77.37,1.59
63000,94年 3月,磚瓦瓷類,106.36,3.49
63000,94年 3月,金屬製品類,66.77,-5.88
63000,94年 3月,木材及其製品類,75.48,20.67
63000,94年 3月,塑膠製品類,53.08,16.56
63000,94年 3月,油漆塗料類,72.17,3.79
63000,94年 3月,機電設備類,88.44,0.55
63000,94年 3月,瀝青及其製品類,44.51,0.82
63000,94年 3月,雜項材料類,74.31,2.65
63000,94年 3月,勞務類,79.1,2.35
63000,94年 3月,工資類,71.75,0.77
63000,94年 3月,機具設備租金類,88.04,4
63000,94年 4月,總指數,65.56,1.05
63000,94年 4月,材料類,60.02,0.33
63000,94年 4月,水泥及其製品類,68.03,4.07
63000,94年 4月,砂石及級配類,77.37,1.59
63000,94年 4月,磚瓦瓷類,107.08,4.19
63000,94年 4月,金屬製品類,66.28,-5.01
63000,94年 4月,木材及其製品類,75.57,16.56
63000,94年 4月,塑膠製品類,53.08,16.39
63000,94年 4月,油漆塗料類,72.17,3.79
63000,94年 4月,機電設備類,88.54,0.65
63000,94年 4月,瀝青及其製品類,44.51,0.82
63000,94年 4月,雜項材料類,74.31,2.21
63000,94年 4月,勞務類,79.23,2.57
63000,94年 4月,工資類,71.93,1.1
63000,94年 4月,機具設備租金類,88.12,4.16
63000,94年 5月,總指數,65.13,1.36
63000,94年 5月,材料類,59.38,0.76
63000,94年 5月,水泥及其製品類,68.03,4.07
63000,94年 5月,砂石及級配類,77.37,1.59
63000,94年 5月,磚瓦瓷類,106.36,3.49
63000,94年 5月,金屬製品類,64.4,-3.68
63000,94年 5月,木材及其製品類,75.57,11.03
63000,94年 5月,塑膠製品類,53.08,16.09
63000,94年 5月,油漆塗料類,72.17,3.79
63000,94年 5月,機電設備類,88.54,0.65
63000,94年 5月,瀝青及其製品類,44.51,0.82
63000,94年 5月,雜項材料類,74.31,2.07
63000,94年 5月,勞務類,79.35,2.63
63000,94年 5月,工資類,72.1,1.38
63000,94年 5月,機具設備租金類,88.2,3.99
63000,94年 6月,總指數,64.37,0.7
63000,94年 6月,材料類,58.27,-0.3
63000,94年 6月,水泥及其製品類,68.03,2.05
