工程編號,工程名稱,公告徵收文號（序號）,行政區,段小段,地號,縣市,縣市代碼
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0307-0006,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0307-0012,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0307-0013,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0322-0000,臺北市,63000
901019,內湖64號公園西側道路新築工程,9005651300,內湖,康寧段三小段,0327-0005,臺北市,63000
901020,內湖康寧路3段26巷中段拓寬工程,9005651400,內湖,東湖段六小段,0214-0001,臺北市,63000
901020,內湖康寧路3段26巷中段拓寬工程,9005651400,內湖,東湖段六小段,0217-0001,臺北市,63000
901020,內湖康寧路3段26巷中段拓寬工程,9005651400,內湖,東湖段六小段,0219-0001,臺北市,63000
901021,內湖文德路68巷(文德2號公園內)道路新築工程,9004563000,內湖,文德段二小段,0211-0004,臺北市,63000
901021,內湖文德路68巷(文德2號公園內)道路新築工程,9004563000,內湖,文德段二小段,0213-0002,臺北市,63000
901021,內湖文德路68巷(文德2號公園內)道路新築工程,9004563000,內湖,文德段二小段,0214-0002,臺北市,63000
901021,內湖文德路68巷(文德2號公園內)道路新築工程,9004563000,內湖,文德段二小段,0215-0002,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0777-0001,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0778-0000,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0779-0001,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0780-0001,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0787-0001,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0788-0000,臺北市,63000
901022,中山北安路554巷道路新築工程,9004964400,中山,北安段三小段,0789-0001,臺北市,63000
901023,南港研究院路2段2巷末段道路新築工程,9005717800,南港,中南段二小段,0302-0012,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0354-0009,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0380-0019,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0380-0022,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0380-0023,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0380-0025,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0381-0002,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0383-0003,臺北市,63000
901024,南港研究院路2段84巷旁道路新築工程,9109961700,南港,中南段二小段,0384-0001,臺北市,63000
901025,信義永吉路、虎林街口道路拓寬工程,9005582000,信義,永吉段二小段,0007-0001,臺北市,63000
901025,信義永吉路、虎林街口道路拓寬工程,9005582000,信義,永吉段二小段,0009-0001,臺北市,63000
901027,信義吳興街156巷7弄至220巷11弄道路拓寬工程,9004710500,信義,三興段二小段,0299-0000,臺北市,63000
901027,信義吳興街156巷7弄至220巷11弄道路拓寬工程,9004710500,信義,三興段二小段,0303-0001,臺北市,63000
901027,信義吳興街156巷7弄至220巷11弄道路拓寬工程,9004710500,信義,三興段二小段,0429-0007,臺北市,63000
901027,信義吳興街156巷7弄至220巷11弄道路拓寬工程,9004710500,信義,三興段二小段,0432-0003,臺北市,63000
901027,信義吳興街156巷7弄至220巷11弄道路拓寬工程,9004710500,信義,三興段二小段,0433-0004,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0446-0006,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0514-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0514-0002,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0515-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0516-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0519-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0520-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0524-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0566-0003,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0566-0004,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0569-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0570-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0570-0005,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0571-0000,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0593-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0605-0001,臺北市,63000
901028,文山景後街149巷道路拓寬工程,9004710600,文山,景美段四小段,0605-0010,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0479-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0480-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0480-0002,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0482-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0484-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0486-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0487-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0489-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0490-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0494-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0496-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0499-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0501-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0504-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0507-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0509-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0511-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0513-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0515-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0517-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0518-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0519-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0519-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0521-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0523-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0525-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0527-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0529-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0531-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0537-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0544-0000,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0575-0001,臺北市,63000
901029,文山公館街拓寬工程,9007664300,文山,萬隆段一小段,0576-0000,臺北市,63000
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0142-0000,臺北市,63000
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0145-0000,臺北市,63000
901030,文山富山路前段道路拓寬工程,9004575200,文山,華興段二小段,0146-0000,臺北市,63000
