行政區,段小段,地號,標示部面積,所有權登記次序,所有權持分類別,所有權持分分母,所有權持分分子,公告地價（新臺幣元每平方公尺）,申報地價（新臺幣元每平方公尺）,核定申報地價情形
中山區,北安段四小段,01390000,146.0,0004,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400001,12502.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0004,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01370000,402.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350001,2927.79,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01350000,2346.21,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01330000,3876.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00160000,239.0,0004,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00220003,1872.4,0007,A,1,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00210003,3941.6,0007,A,1,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00190000,2191.0,0004,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0020,,18000,408,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01470001,21258.0,0034,,1800,306,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00180000,2371.0,0007,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01420000,1157.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01410000,1872.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01400000,1298.0,0006,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01390000,146.0,0007,,10,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,01380001,680.0,0005,,5,1,2100,2520,按公告地價120%申報者
中山區,北安段四小段,00250000,35.0,0006,,5,1,2100,2520,按公告地價120%申報者
