年度,年期,繳納期間起日,繳納期間迄日,一般土地地價稅計算公式,自用住宅用地地價稅計算公式,工業用地地價稅計算公式,公共設施保留地地價稅計算公式
96,全年,20071101,20071130,"課稅地價×稅率–累進差額=應納稅額
(1)26374000以下×10/1000=應納稅額
(2)26374001~158244000×15/1000–131870=應納稅額
(3)158244001~290114000×25/1000–1714310=應納稅額
(4)290114001~421984000×35/1000–4615450=應納稅額
(5)421984001~553854000×45/1000–8835290=應納稅額
(6)553854001以上×55/1000–14373830=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
97,全年,20081101,20081130,"課稅地價×稅率–累進差額=應納稅額
(1)26374000以下×10/1000=應納稅額
(2)26374001~158244000×15/1000–131870=應納稅額
(3)158244001~290114000×25/1000–1714310=應納稅額
(4)290114001~421984000×35/1000–4615450=應納稅額
(5)421984001~553854000×45/1000–8835290=應納稅額
(6)553854001以上×55/1000–14373830=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
98,全年,20091101,20091130,"課稅地價×稅率–累進差額=應納稅額
(1)26374000以下×10/1000=應納稅額
(2)26374001~158244000×15/1000–131870=應納稅額
(3)158244001~290114000×25/1000–1714310=應納稅額
(4)290114001~421984000×35/1000–4615450=應納稅額
(5)421984001~553854000×45/1000–8835290=應納稅額
(6)553854001以上×55/1000–14373830=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
99,全年,20101101,20101130,"課稅地價×稅率–累進差額=應納稅額
(1)29510000以下×10/1000=應納稅額
(2)29510001~177060000×15/1000–147550=應納稅額
(3)177060001~324610000×25/1000–1918150=應納稅額
(4)324610001~472160000×35/1000–5164250=應納稅額
(5)472160001~619710000×45/1000–9885850=應納稅額
(6)619710001以上×55/1000–16082950=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
100,全年,20111101,20111130,"課稅地價×稅率–累進差額=應納稅額
(1)29510000以下×10/1000=應納稅額
(2)29510001~177060000×15/1000–147550=應納稅額
(3)177060001~324610000×25/1000–1918150=應納稅額
(4)324610001~472160000×35/1000–5164250=應納稅額
(5)472160001~619710000×45/1000–9885850=應納稅額
(6)619710001以上×55/1000–16082950=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
101,全年,20121101,20121130,"課稅地價×稅率–累進差額=應納稅額
(1)29510000以下×10/1000=應納稅額
(2)29510001~177060000×15/1000–147550=應納稅額
(3)177060001~324610000×25/1000–1918150=應納稅額
(4)324610001~472160000×35/1000–5164250=應納稅額
(5)472160001~619710000×45/1000–9885850=應納稅額
(6)619710001以上×55/1000–16082950=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
102,全年,20131101,20131130,"課稅地價×稅率–累進差額=應納稅額
(1)31318000以下×10/1000=應納稅額
(2)31318001~187908000×15/1000–156590=應納稅額
(3)187908001~344498000×25/1000–2035670=應納稅額
(4)344498001~501088000×35/1000–5480650=應納稅額
(5)501088001~657678000×45/1000–10491530=應納稅額
(6)657678001以上×55/1000–17068310=應納稅額",課稅地價×2/1000=應納稅額 ,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
103,全年,20141101,20141130,"課稅地價×稅率–累進差額=應納稅額
(1)31318000以下×10/1000=應納稅額
(2)31318001~187908000×15/1000–156590=應納稅額
(3)187908001~344498000×25/1000–2035670=應納稅額
(4)344498001~501088000×35/1000–5480650=應納稅額
(5)501088001~657678000×45/1000–10491530=應納稅額
(6)657678001以上×55/1000–17068310=應納稅額",課稅地價×2/1000=應納稅額 ,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
104,全年,20151101,20151130,"課稅地價×稅率–累進差額=應納稅額
(1)31318000以下×10/1000=應納稅額
(2)31318001~187908000×15/1000–156590=應納稅額
(3)187908001~344498000×25/1000–2035670=應納稅額
(4)344498001~501088000×35/1000–5480650=應納稅額
(5)501088001~657678000×45/1000–10491530=應納稅額
(6)657678001以上×55/1000–17068310=應納稅額",課稅地價×2/1000=應納稅額 ,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
105,全年,20161101,20161130,"課稅地價×稅率–累進差額=應納稅額
(1)41709000以下×10/1000=應納稅額
(2)41709001~250254000×15/1000–208545=應納稅額
(3)250254001~458799000×25/1000–2711085=應納稅額
(4)458799001~667344000×35/1000–7299075=應納稅額
(5)667344001~875889000×45/1000–13972515=應納稅額
(6)875889001以上×55/1000–22731405=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額 
106,全年,20171101,20171130,"課稅地價×稅率–累進差額=應納稅額
(1)41709000以下×10/1000=應納稅額
(2)41709001~250254000×15/1000–208545=應納稅額
(3)250254001~458799000×25/1000–2711085=應納稅額
(4)458799001~667344000×35/1000–7299075=應納稅額
(5)667344001~875889000×45/1000–13972515=應納稅額
(6)875889001以上×55/1000–22731405=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額 
107,全年,20181101,20181130,"課稅地價×稅率–累進差額=應納稅額
(1)39387000以下×10/1000=應納稅額
(2)39387001~236322000×15/1000–196935=應納稅額
(3)236322001~433257000×25/1000–2560155=應納稅額
(4)433257001~630192000×35/1000–6892725=應納稅額
(5)630192001~827127000×45/1000–13194645=應納稅額
(6)827127001以上×55/1000–21465915=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
108,全年,20191101,20191130,"課稅地價×稅率–累進差額=應納稅額
(1)39387000以下×10/1000=應納稅額
(2)39387001~236322000×15/1000–196935=應納稅額
(3)236322001~433257000×25/1000–2560155=應納稅額
(4)433257001~630192000×35/1000–6892725=應納稅額
(5)630192001~827127000×45/1000–13194645=應納稅額
(6)827127001以上×55/1000–21465915=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
109,全年,20201101,20201130,"課稅地價×稅率–累進差額 =應納稅額
(1) 39,961,000以下 × 10/1000=應納稅額
(2) 39,961,001~239,766,000 × 15/1000–199,805=應納稅額
(3) 239,766,001~439,571,000 × 25/1000–2,597,465=應納稅額
(4) 439,571,001~639,376,000 × 35/1000–6,993,175=應納稅額
(5) 639,376,001~839,181,000 × 45/1000–13,386,935=應納稅額
(6) 839,181,001以上 × 55/1000–21,778,745=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
110,全年,20211101,20211130,"課稅地價×稅率–累進差額 =應納稅額
(1) 39,961,000以下 × 10/1000=應納稅額
(2) 39,961,001~239,766,000 × 15/1000–199,805=應納稅額
(3) 239,766,001~439,571,000 × 25/1000–2,597,465=應納稅額
(4) 439,571,001~639,376,000 × 35/1000–6,993,175=應納稅額
(5) 639,376,001~839,181,000 × 45/1000–13,386,935=應納稅額
(6) 839,181,001以上 × 55/1000–21,778,745=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
111,全年,20221101,20221130,"課稅地價×稅率–累進差額 =應納稅額
(1) 40,727,000以下 × 10/1000=應納稅額
(2) 40,727,001~244,362,000 × 15/1000–203,635=應納稅額
(3) 244,362,001~447,997,000 × 25/1000–2,647,255=應納稅額
(4) 447,997,001~651,632,000 × 35/1000–7,127,225=應納稅額
(5) 651,632,001~855,267,000 × 45/1000–13,643,545=應納稅額
(6) 855,267,001以上 × 55/1000–22,196,215=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
112,全年,20231101,20231130,"課稅地價×稅率–累進差額 =應納稅額
(1) 40,727,000以下 × 10/1000=應納稅額
(2) 40,727,001~244,362,000 × 15/1000–203,635=應納稅額
(3) 244,362,001~447,997,000 × 25/1000–2,647,255=應納稅額
(4) 447,997,001~651,632,000 × 35/1000–7,127,225=應納稅額
(5) 651,632,001~855,267,000 × 45/1000–13,643,545=應納稅額
(6) 855,267,001以上 × 55/1000–22,196,215=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
113,全年,20241101,20241130,"課稅地價×稅率–累進差額 =應納稅額
(1) 42,165,000以下 × 10/1000=應納稅額
(2) 42,165,001~252,990,000 × 15/1000–210,825=應納稅額
(3) 252,990,001~463,815,000 × 25/1000–2,740,725=應納稅額
(4) 463,815,001~674,640,000 × 35/1000–7,378,875=應納稅額
(5) 674,640,001~885,465,000 × 45/1000–14,125,275=應納稅額
(6) 885,465,001以上 × 55/1000–22,979,925=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
114,全年,20251101,20251130,"課稅地價×稅率–累進差額 =應納稅額
(1) 42,165,000以下 × 10/1000=應納稅額
(2) 42,165,001~252,990,000 × 15/1000–210,825=應納稅額
(3) 252,990,001~463,815,000 × 25/1000–2,740,725=應納稅額
(4) 463,815,001~674,640,000 × 35/1000–7,378,875=應納稅額
(5) 674,640,001~885,465,000 × 45/1000–14,125,275=應納稅額
(6) 885,465,001以上 × 55/1000–22,979,925=應納稅額",課稅地價×2/1000=應納稅額,課稅地價×10/1000=應納稅額,課稅地價×6/1000=應納稅額
