住宅價格月指數類別,期別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價（新台幣萬元）,標準住宅單價（新台幣萬元每坪）
全市公寓,105/08,100.13,102.74,104.39,-2.05%,-1.77%,-1.29%,1296,43.20
全市公寓,105/09,102.18,101.51,103.63,2.05%,-1.20%,-0.73%,1323,44.09
全市公寓,105/10,101.90,101.40,103.00,-0.27%,-0.11%,-0.61%,1319,43.97
全市公寓,105/11,98.89,100.99,101.87,-2.96%,-0.41%,-1.10%,1280,42.67
全市公寓,105/12,97.13,99.31,100.41,-1.77%,-1.67%,-1.43%,1257,41.91
全市公寓,106/01,97.84,97.95,99.68,0.73%,-1.36%,-0.73%,1266,42.21
全市公寓,106/02,101.17,98.71,99.85,3.41%,0.78%,0.17%,1310,43.65
全市公寓,106/03,100.31,99.77,99.54,-0.85%,1.07%,-0.31%,1298,43.28
全市公寓,106/04,100.57,100.68,99.32,0.25%,0.91%,-0.22%,1302,43.39
全市公寓,106/05,103.21,101.36,100.04,2.63%,0.68%,0.73%,1336,44.53
全市公寓,106/06,104.57,102.78,101.28,1.31%,1.40%,1.24%,1354,45.12
全市公寓,106/07,106.28,104.69,102.68,1.63%,1.85%,1.39%,1376,45.86
全市公寓,106/08,102.09,104.31,102.84,-3.94%,-0.36%,0.15%,1321,44.05
全市公寓,106/09,105.99,104.79,103.78,3.82%,0.45%,0.92%,1372,45.73
全市公寓,106/10,102.56,103.55,104.12,-3.23%,-1.18%,0.32%,1328,44.25
全市公寓,106/11,105.97,104.84,104.58,3.32%,1.25%,0.44%,1372,45.72
全市公寓,106/12,103.18,103.90,104.34,-2.63%,-0.89%,-0.22%,1336,44.52
全市公寓,107/01,99.32,102.82,103.18,-3.75%,-1.04%,-1.11%,1286,42.85
全市公寓,107/02,97.50,100.00,102.42,-1.83%,-2.74%,-0.74%,1262,42.07
全市公寓,107/03,99.46,98.76,101.33,2.01%,-1.24%,-1.06%,1287,42.92
全市公寓,107/04,101.66,99.54,101.18,2.21%,0.79%,-0.15%,1316,43.86
全市公寓,107/05,100.38,100.50,100.25,-1.26%,0.96%,-0.92%,1299,43.31
全市公寓,107/06,99.23,100.43,99.59,-1.14%,-0.08%,-0.66%,1284,42.82
全市公寓,107/07,97.97,99.20,99.37,-1.27%,-1.22%,-0.23%,1268,42.27
全市公寓,107/08,99.69,98.96,99.73,1.75%,-0.23%,0.37%,1290,43.01
全市公寓,107/09,99.63,99.09,99.76,-0.06%,0.13%,0.03%,1290,42.99
全市公寓,107/10,100.17,99.83,99.51,0.54%,0.74%,-0.25%,1297,43.22
全市公寓,107/11,103.73,101.18,100.07,3.56%,1.35%,0.56%,1343,44.76
全市公寓,107/12,101.25,101.72,100.41,-2.39%,0.54%,0.34%,1311,43.69
全市公寓,108/01,100.24,101.74,100.78,-1%,0.02%,0.38%,1298,43.25
全市公寓,108/02,102.10,101.20,101.19,1.86%,-0.53%,0.40%,1322,44.05
全市公寓,108/03,103.64,101.99,101.86,1.5%,0.78%,0.66%,1341,44.72
全市公寓,108/04,102.91,102.88,102.31,-0.7%,0.87%,0.45%,1332,44.40
全市公寓,108/05,101.70,102.75,101.97,-1.18%,-0.13%,-0.33%,1316,43.88
全市公寓,108/06,101.01,101.87,101.93,-0.68%,-0.85%,-0.04%,1307,43.58
全市公寓,108/07,99.38,100.70,101.79,-1.61%,-1.15%,-0.14%,1286,42.88
全市公寓,108/08,99.08,99.82,101.29,-0.3%,-0.87%,-0.49%,1283,42.75
全市公寓,108/09,98.84,99.10,100.49,-0.24%,-0.72%,-0.79%,1279,42.65
全市公寓,108/10,102.13,100.02,100.36,3.33%,0.92%,-0.13%,1322,44.07
全市公寓,108/11,104.12,101.70,100.76,1.95%,1.68%,0.40%,1348,44.93
