縣市別代碼,年月別,商品性質別分類,原始值[統計數值],年增率[%]
63000,88年3月,服務類,80.82,0.6
63000,88年3月,服務類(不含食物),82.89,-0.17
63000,88年3月,服務類-外食費,71.72,5.05
63000,88年3月,服務類-衣著,73.34,7.62
63000,88年3月,服務類-居住,95.06,-0.48
63000,88年3月,服務類-交通及通訊,85.98,4.66
63000,88年3月,服務類-醫藥保健,65.6,1.74
63000,88年3月,服務類-教養娛樂,63.67,-2.75
63000,88年3月,服務類-教養,82.15,3.07
63000,88年3月,服務類-娛樂,48.41,-9.29
63000,88年3月,服務類-雜項,81.93,1.8
63000,88年4月,總指數(含食物),79.21,-0.13
63000,88年4月,商品類(含食物),77.07,-1.56
63000,88年4月,商品類(不含食物),98.97,-1.21
63000,88年4月,商品類-非耐久性消費品(含食物),62.42,-2.18
63000,88年4月,商品類-非耐久性消費品(不含食物),78.92,-2.4
63000,88年4月,商品類-半耐久性消費品,96.52,1.43
63000,88年4月,商品類-耐久性消費品,144.84,-2.54
63000,88年4月,服務類,80.7,0.99
63000,88年4月,服務類(不含食物),83.02,0.63
63000,88年4月,服務類-外食費,70.4,3.09
63000,88年4月,服務類-衣著,73.34,16.67
63000,88年4月,服務類-居住,95.06,-0.56
63000,88年4月,服務類-交通及通訊,86.09,6.48
63000,88年4月,服務類-醫藥保健,65.6,1.74
63000,88年4月,服務類-教養娛樂,64.04,-0.14
63000,88年4月,服務類-教養,82.15,3.07
63000,88年4月,服務類-娛樂,49.06,-3.9
63000,88年4月,服務類-雜項,81.93,1.8
63000,88年5月,總指數(含食物),79.46,-0.04
63000,88年5月,商品類(含食物),77.58,-0.23
63000,88年5月,商品類(不含食物),98.98,-0.32
63000,88年5月,商品類-非耐久性消費品(含食物),63.17,-0.79
63000,88年5月,商品類-非耐久性消費品(不含食物),79.24,-2.05
63000,88年5月,商品類-半耐久性消費品,95.94,2.63
63000,88年5月,商品類-耐久性消費品,145.15,-1.31
63000,88年5月,服務類,80.74,0.12
63000,88年5月,服務類(不含食物),83.2,-0.22
63000,88年5月,服務類-外食費,69.74,2.12
63000,88年5月,服務類-衣著,73.34,19.35
63000,88年5月,服務類-居住,94.97,-0.85
63000,88年5月,服務類-交通及通訊,86.18,6.83
63000,88年5月,服務類-醫藥保健,65.6,1.49
63000,88年5月,服務類-教養娛樂,64.77,-0.89
63000,88年5月,服務類-教養,82.15,3.07
63000,88年5月,服務類-娛樂,50.31,-5.34
63000,88年5月,服務類-雜項,81.93,-3.58
63000,88年6月,總指數(含食物),79.85,-0.67
63000,88年6月,商品類(含食物),77.64,-3.23
63000,88年6月,商品類(不含食物),99.82,-0.56
63000,88年6月,商品類-非耐久性消費品(含食物),63.31,-5.13
63000,88年6月,商品類-非耐久性消費品(不含食物),81.37,-1.47
63000,88年6月,商品類-半耐久性消費品,95.02,1.17
63000,88年6月,商品類-耐久性消費品,146.11,-1.23
63000,88年6月,服務類,81.38,1.33
63000,88年6月,服務類(不含食物),83.51,0.63
63000,88年6月,服務類-外食費,72.01,5.45
63000,88年6月,服務類-衣著,73.34,17.89
63000,88年6月,服務類-居住,94.99,-1.01
63000,88年6月,服務類-交通及通訊,86.33,6.65
63000,88年6月,服務類-醫藥保健,65.6,1.49
63000,88年6月,服務類-教養娛樂,64.98,0.46
63000,88年6月,服務類-教養,82.22,3.16
63000,88年6月,服務類-娛樂,50.62,-2.64
63000,88年6月,服務類-雜項,84.13,2.74
63000,88年7月,總指數(含食物),79.55,-0.48
63000,88年7月,商品類(含食物),76.55,-2.57
63000,88年7月,商品類(不含食物),97.9,-0.2
63000,88年7月,商品類-非耐久性消費品(含食物),62.95,-4.45
63000,88年7月,商品類-非耐久性消費品(不含食物),80.95,-1.69
63000,88年7月,商品類-半耐久性消費品,89.92,2.1
63000,88年7月,商品類-耐久性消費品,146.12,-0.65
63000,88年7月,服務類,81.71,1.13
63000,88年7月,服務類(不含食物),83.91,1.02
63000,88年7月,服務類-外食費,72.01,1.72
63000,88年7月,服務類-衣著,73.34,0
63000,88年7月,服務類-居住,95.34,0.29
63000,88年7月,服務類-交通及通訊,86.76,4.66
63000,88年7月,服務類-醫藥保健,65.6,0
63000,88年7月,服務類-教養娛樂,66.28,1.5
63000,88年7月,服務類-教養,82.21,3.05
63000,88年7月,服務類-娛樂,52.89,-0.21
63000,88年7月,服務類-雜項,82.04,0.04
63000,88年8月,總指數(含食物),80.44,1.22
63000,88年8月,商品類(含食物),78.16,0.86
63000,88年8月,商品類(不含食物),97.01,0.3
63000,88年8月,商品類-非耐久性消費品(含食物),65.77,0.83
63000,88年8月,商品類-非耐久性消費品(不含食物),81.42,-0.78
63000,88年8月,商品類-半耐久性消費品,87.4,2.22
63000,88年8月,商品類-耐久性消費品,144.98,-0.23
63000,88年8月,服務類,82.03,1.5
63000,88年8月,服務類(不含食物),84.4,1.53
63000,88年8月,服務類-外食費,71.51,1.33
63000,88年8月,服務類-衣著,73.34,0
63000,88年8月,服務類-居住,95.34,0.31
63000,88年8月,服務類-交通及通訊,86.75,1.82
63000,88年8月,服務類-醫藥保健,72.39,17.14
63000,88年8月,服務類-教養娛樂,66.98,2.71
63000,88年8月,服務類-教養,82.22,3.06
63000,88年8月,服務類-娛樂,54.08,2.31
63000,88年8月,服務類-雜項,82.04,-0.04
63000,88年9月,總指數(含食物),80.6,1.21
63000,88年9月,商品類(含食物),77.86,0.53
63000,88年9月,商品類(不含食物),96.92,0.4
63000,88年9月,商品類-非耐久性消費品(含食物),65.44,0.37
63000,88年9月,商品類-非耐久性消費品(不含食物),81.49,-0.24
63000,88年9月,商品類-半耐久性消費品,87.27,1.77
63000,88年9月,商品類-耐久性消費品,144.61,-0.14
63000,88年9月,服務類,82.56,1.74
63000,88年9月,服務類(不含食物),85.03,2.1
63000,88年9月,服務類-外食費,71.55,-0.31
63000,88年9月,服務類-衣著,73.34,1.96
