管理機關,土地標示名稱,宗地面積（平方公尺）,持分面積（平方公尺）,列帳金額（元）
財政局,臺北市大安區金華段一小段0278-0002,322,322,169485988
財政局,臺北市大安區金華段二小段0683-0000,8,8,4552000
財政局,臺北市大安區金華段二小段0725-0000,49,49,37828000
財政局,臺北市大安區金華段二小段0733-0000,231,5.42,4101276
財政局,臺北市大安區金華段三小段0572-0001,1,1,725000
財政局,臺北市大安區金華段四小段0516-0000,61,61,27511000
財政局,臺北市大安區瑞安段一小段0247-0000,6,6,2772000
財政局,臺北市大安區瑞安段一小段0248-0000,5,5,2310000
財政局,臺北市大安區瑞安段一小段0249-0000,7,7,3234000
財政局,臺北市大安區瑞安段二小段0179-0000,30,30,13860000
財政局,臺北市大安區瑞安段二小段0207-0004,5,5,2310000
財政局,臺北市大安區瑞安段二小段0207-0005,6,6,2772000
財政局,臺北市大安區瑞安段二小段0454-0000,83,83,42662000
財政局,臺北市大安區瑞安段二小段0456-0000,72,72,36799992
財政局,臺北市大安區瑞安段二小段0592-0001,2,2,1048000
財政局,臺北市大安區通化段一小段0410-0000,3,3,1590000
財政局,臺北市大安區通化段一小段0899-0000,20,20,6820000
財政局,臺北市大安區通化段二小段0295-0000,32,32,12000000
財政局,臺北市大安區通化段二小段0341-0000,52,52,19500000
財政局,臺北市大安區通化段二小段0473-0000,62,62,31744000
財政局,臺北市大安區通化段二小段0482-0000,61,61,31232000
財政局,臺北市大安區通化段二小段0502-0000,20,20,7500000
財政局,臺北市大安區通化段二小段0644-0000,3,3,1089000
財政局,臺北市大安區通化段二小段0649-0000,5,5,1695000
財政局,臺北市大安區通化段二小段0668-0000,69,69,23391000
財政局,臺北市大安區通化段二小段0670-0000,4,4,1356000
財政局,臺北市大安區通化段二小段0671-0000,34,34,11526000
財政局,臺北市大安區通化段二小段0677-0001,4,4,1356000
財政局,臺北市大安區通化段二小段0811-0000,24,24,8136000
財政局,臺北市大安區通化段二小段0824-0000,57,57,19323000
財政局,臺北市大安區通化段二小段0848-0000,10,10,3390000
財政局,臺北市大安區通化段二小段0903-0000,64,64,21696000
財政局,臺北市大安區通化段三小段0312-0000,59,59,33571000
財政局,臺北市大安區通化段四小段0559-0000,376,376,179347864
財政局,臺北市大安區通化段四小段0559-0004,15,15,5805000
財政局,臺北市大安區通化段四小段0559-0005,5,5,1935000
財政局,臺北市大安區通化段四小段0559-0006,11,11,4802996
財政局,臺北市大安區通化段四小段0642-0000,322,322,146977866
財政局,臺北市大安區通化段四小段0662-0000,43,43,17974000
財政局,臺北市大安區通化段四小段0665-0000,41,41,17138000
財政局,臺北市大安區通化段四小段0670-0000,71,71,32396022
財政局,臺北市大安區通化段四小段0677-0000,41,41,17138000
財政局,臺北市大安區通化段五小段0446-0002,47,47,22419000
財政局,臺北市大安區通化段六小段0097-0002,1,1,531000
財政局,臺北市大安區通化段六小段0098-0002,2,2,1062000
財政局,臺北市大安區通化段六小段0537-0000,1,1,418000
財政局,臺北市大安區通化段六小段0609-0001,19,19,18107000
財政局,臺北市大安區通化段六小段0613-0000,1,1,953000
財政局,臺北市大安區通化段六小段0617-0000,26,26,24778000
財政局,臺北市大安區仁愛段二小段0153-0001,28,28,17255000
財政局,臺北市大安區仁愛段二小段0487-0000,1,1,1514400
財政局,臺北市大安區仁愛段三小段0075-0001,3,3,1755999
財政局,臺北市大安區仁愛段三小段0263-0001,9,9,4986000
財政局,臺北市大安區仁愛段三小段0277-0000,48,48,32160000
財政局,臺北市大安區仁愛段三小段0333-0000,33,33,22110000
財政局,臺北市大安區仁愛段三小段0349-0000,23,23,25438000
財政局,臺北市大安區仁愛段三小段0632-0000,7,7,3862565
財政局,臺北市大安區仁愛段三小段0651-0001,48,48,39776016
財政局,臺北市大安區仁愛段四小段0101-0000,14,14,8750000
財政局,臺北市大安區復興段一小段0139-0001,2,2,922000
財政局,臺北市大安區復興段一小段0139-0002,43,43,21262984
